approach,model,accuracy,macro_precision,macro_recall,macro_f1,num_parameters,training_time_seconds
Traditional CV,random_forest,0.9245810055865922,0.9300533297652726,0.9268626622736618,0.927956675477031,,
Traditional CV,svm,0.9078212290502793,0.9089217969280119,0.913192954295852,0.9108787138737334,,
Traditional CV,xgboost,0.9301675977653632,0.9348104375849957,0.9302896285657966,0.9323454789890586,,
Deep Learning,mobilenet_v3_small,0.8740157480314961,0.8674054093460669,0.8664176245210727,0.8653614584649066,1520931.0,26.168590307235718
Deep Learning,resnet18,0.9357541899441341,0.9335898124431959,0.9402387992453042,0.9363131119536297,11178564.0,3269.0181498527527
