epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.6462444982058565,0.7174295774647887,0.7272117507786208,0.43873251097683064,0.8106995884773662,0.8205000437101146
2,0.45533676550421914,0.7878521126760564,0.8019319508257857,0.39267425147103674,0.8353909465020576,0.8443194361507699
3,0.35628977753746677,0.8512323943661971,0.8623689855621116,0.3077870517846488,0.8806584362139918,0.8869844843838651
4,0.37461655765352114,0.840669014084507,0.8530806599721555,0.37818114392060803,0.8477366255144033,0.8663225710292899
5,0.3168343704351237,0.8714788732394366,0.884898559938818,0.38507909048731925,0.8600823045267489,0.8694309746160341
6,0.2909469117581005,0.8802816901408451,0.8905452279631462,0.3512203064229753,0.8395061728395061,0.8561432637571157
7,0.33145690216145046,0.8723591549295775,0.8828571674868134,0.4305908771944635,0.8600823045267489,0.868166088464498
8,0.27613526750618306,0.8820422535211268,0.8924348663610534,0.2741245954860876,0.8888888888888888,0.8963550709851947
9,0.26727212356849456,0.8899647887323944,0.8988903100094285,0.2598221239484387,0.9135802469135802,0.9259350349123253
10,0.2726033850454948,0.897887323943662,0.9031528020889722,0.2343207365936703,0.9259259259259259,0.9360304974541312
11,0.21568946372455275,0.9110915492957746,0.9202345811218754,0.2538529885894477,0.8765432098765432,0.8912125393497363
12,0.23033498059695875,0.9022887323943662,0.9096920090116135,0.31996438140241207,0.8724279835390947,0.8796101364522416
13,0.21187050997371404,0.9049295774647887,0.9135117619702048,0.24807145357622531,0.9053497942386831,0.9127837514934289
14,0.17659365186389064,0.9304577464788732,0.9368666669377953,0.3738450187223929,0.8559670781893004,0.8674108103786523
15,0.16292495322479328,0.9375,0.9442249582077014,0.2495561141536069,0.9135802469135802,0.9237412693298007
16,0.15966351172873672,0.9454225352112676,0.9498588845795376,0.2077406530762896,0.9135802469135802,0.9223475974839305
17,0.13555749390326755,0.9498239436619719,0.9551774102432061,0.19700154582414117,0.9382716049382716,0.9446802074330165
18,0.15874596548752046,0.9339788732394366,0.9414757594845783,0.25873325145784226,0.8765432098765432,0.8893438477426137
19,0.13421228769379603,0.9445422535211268,0.9510833168803963,0.20400812265313703,0.9012345679012346,0.9106922765507625
20,0.11810631058375601,0.9533450704225352,0.9587543016893142,0.24566203797305072,0.897119341563786,0.9097781641500258
21,0.1332462691295315,0.9515845070422535,0.957301415963623,0.1623441386247368,0.9300411522633745,0.9361703286231587
22,0.11911725504717356,0.9533450704225352,0.9584171786508953,0.1673718760165658,0.9300411522633745,0.9380032819699949
23,0.12870944301847,0.948943661971831,0.9531463234115817,0.15819646608191754,0.9300411522633745,0.9398207066139784
24,0.11939880495864741,0.9524647887323944,0.9583987002466796,0.16945630520459556,0.9218106995884774,0.9310177917320774
