epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.8380687079187167,0.6338983050847458,0.6077784832541704,0.7960417993425384,0.6377952755905512,0.609918459573632
2,0.4060127401756028,0.8491525423728814,0.8406710974947847,1.0921492623531912,0.5590551181102362,0.4606650446066505
3,0.2782182758642455,0.9050847457627119,0.8979311456359415,0.5194273792852567,0.8031496062992126,0.7938854959105682
4,0.27592111937070296,0.8898305084745762,0.8830054524046053,0.7933005066368524,0.7244094488188977,0.706697869021026
5,0.2321943214384176,0.9050847457627119,0.9023320941868246,0.7246060512197299,0.7244094488188977,0.7106349206349206
6,0.2215627208352089,0.9050847457627119,0.9014475958972542,0.5423936564621963,0.7952755905511811,0.7782912481605924
7,0.2215065794476008,0.911864406779661,0.9064119309271672,0.6129237340660546,0.7322834645669292,0.7009609609609608
8,0.13514309545694772,0.9508474576271186,0.9446444420852229,0.578217439529464,0.7637795275590551,0.7427869427869428
9,0.15881895367371834,0.9372881355932203,0.9371126675654642,0.5331119779996046,0.7795275590551181,0.7583183183183184
10,0.16183086573067357,0.940677966101695,0.9350136588942558,0.51883712481326,0.7874015748031497,0.7676876876876877
